productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Тубус 3ка,0.0,700.0,Тубус 3ка | Category: Косметика + тапулі,,,,
Тубус 2ка,230.0,600.0,Тубус 2ка | Category: Косметика + тапулі,,,,
Тапулі та косметичка в асортименті,0.0,900.0,Тапулі та косметичка в асортименті | Category: Косметика + тапулі,,,,
