productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Купальник,305.0,750.0,Купальник | Category: Купальники,,,,
Купальник люкс,1700.0,2500.0,Купальник люкс | Category: Купальники,,,,
