productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Комплект білизни Мері (Лео),0.0,0.0,Комплект білизни Мері (Лео) | Category: Бюст (SALE),,,,
Бюст в асортименті,195.0,250.0,Бюст в асортименті | Category: Бюст (SALE),,,,
Бюст Анжеліка БЕЖ,670.0,990.0,Бюст Анжеліка БЕЖ | Category: Бюст (SALE),,,,
