productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Лосини з PU Синій M,213.0,750.0,Лосини з PU Синій M | Category: Лосини з PU,,53.0,,
Лосини з PU Червоний M,258.58,750.0,Лосини з PU Червоний M | Category: Лосини з PU,,54.0,,
Лосини з PU Сірий L,224.45,750.0,Лосини з PU Сірий L | Category: Лосини з PU,,55.0,,
Лосини з PU Чорний L,133.71,750.0,Лосини з PU Чорний L | Category: Лосини з PU,,56.0,,
Лосини з PU Світло сірий L,337.83,750.0,Лосини з PU Світло сірий L | Category: Лосини з PU,,57.0,,
Лосини з PU Смарагд  L,0.0,750.0,Лосини з PU Смарагд  L | Category: Лосини з PU,,58.0,,
Лосини з PU Олива  L,376.65,750.0,Лосини з PU Олива  L | Category: Лосини з PU,,59.0,,
Лосини з PU Червоний L,317.03,750.0,Лосини з PU Червоний L | Category: Лосини з PU,,60.0,,
Лосини з PU Нюд L,0.1,750.0,Лосини з PU Нюд L | Category: Лосини з PU,,61.0,,
Лосини з PU Мокко L,376.64,750.0,Лосини з PU Мокко L | Category: Лосини з PU,,62.0,,
Лосини з PU Графіт L,377.55,750.0,Лосини з PU Графіт L | Category: Лосини з PU,,63.0,,
Лосини з PU Фіолетовий L,337.83,750.0,Лосини з PU Фіолетовий L | Category: Лосини з PU,,64.0,,
Лосини з PU Фуксія L,337.83,750.0,Лосини з PU Фуксія L | Category: Лосини з PU,,65.0,,
Лосини з PU Коричневий S,405.0,750.0,Лосини з PU Коричневий S | Category: Лосини з PU,,,,
Лосини з PU Коричневий M,337.83,750.0,Лосини з PU Коричневий M | Category: Лосини з PU,,,,
Лосини з PU Чорний XL,216.76,750.0,Лосини з PU Чорний XL | Category: Лосини з PU,,,,
Лосини з PU Електрик L,376.65,750.0,Лосини з PU Електрик L | Category: Лосини з PU,,,,
Лосини з PU Вино Л,213.0,750.0,Лосини з PU Вино Л | Category: Лосини з PU,,,,
Лосини з PU Білий L,376.65,750.0,Лосини з PU Білий L | Category: Лосини з PU,,,,
Лосини з V - поясом Шоколад С,417.1,750.0,Лосини з V - поясом Шоколад С | Category: Лосини з PU,,,,
Лосини з V - поясом Чорний С,470.25,750.0,Лосини з V - поясом Чорний С | Category: Лосини з PU,,,,
Лосини з V - поясом Чорний М,470.2,750.0,Лосини з V - поясом Чорний М | Category: Лосини з PU,,,,
Лосини з V - поясом Шоколад М,408.5,750.0,Лосини з V - поясом Шоколад М | Category: Лосини з PU,,,,
Лосини з PU Шоколад L,376.65,750.0,Лосини з PU Шоколад L | Category: Лосини з PU,,,,
