productName,priceWholesale,priceDrop,description,googleDriveUrl,sku,material,sizes
Лосини рубчик з PU Бежевий L XL,450.0,750.0,Лосини рубчик з PU Бежевий L XL | Category: Лосини рубчик з PU,,165.0,,
Лосини рубчик з PU Мокко L XL,462.65,750.0,Лосини рубчик з PU Мокко L XL | Category: Лосини рубчик з PU,,166.0,,
Лосини рубчик з PU Молочний L XL,462.65,750.0,Лосини рубчик з PU Молочний L XL | Category: Лосини рубчик з PU,,167.0,,
Лосини рубчик з PU Смарагд L XL,0.0,750.0,Лосини рубчик з PU Смарагд L XL | Category: Лосини рубчик з PU,,168.0,,
Лосини рубчик з PU Жовтий L XL,0.0,750.0,Лосини рубчик з PU Жовтий L XL | Category: Лосини рубчик з PU,,169.0,,
Лосини рубчик з PU Марсала L XL,462.65,750.0,Лосини рубчик з PU Марсала L XL | Category: Лосини рубчик з PU,,170.0,,
Лосини рубчик з PU Олива S M,0.01,750.0,Лосини рубчик з PU Олива S M | Category: Лосини рубчик з PU,,,,
Лосини рубчик з PU Сірий S M,462.65,750.0,Лосини рубчик з PU Сірий S M | Category: Лосини рубчик з PU,,,,
Лосини рубчик з PU Сірий LXL,450.0,750.0,Лосини рубчик з PU Сірий LXL | Category: Лосини рубчик з PU,,,,
Лосини рубчик з PU Шоколад L XL,472.39,750.0,Лосини рубчик з PU Шоколад L XL | Category: Лосини рубчик з PU,,,,
Лосини рубчик з PU Шоколад СМ,462.65,750.0,Лосини рубчик з PU Шоколад СМ | Category: Лосини рубчик з PU,,,,
Лосини рубчик з PU Фісташка S M,376.2,750.0,Лосини рубчик з PU Фісташка S M | Category: Лосини рубчик з PU,,,,
